DateTime,AddedIPs,RemovedIPs
1521811710,4,12
1521815123,2,18
1521816979,0,1
1521818912,1,2
1521821082,4,3
1521823001,0,2
1521824927,1,1
1521826827,2,2
1521828757,3,2
1521830696,6,2
1521832589,4,2
1521834510,13,2
1521836671,15,1
1521838898,5,0
1521840748,6,0
1521842688,4,3
1521845710,12,9
1521847953,6,2
1521849878,5,4
1521851781,8,1
1521853706,6,3
1521855864,9,6
1521857781,6,3
1521859709,4,3
1521861611,1,1
1521863546,2,2
1521865454,0,3
1521867495,0,3
1521869540,5,3
1521871470,1,2
1521873625,2,2
1521875558,1,0
1521877478,2,2
1521879384,2,2
1521881322,1,3
1521883224,1,5
1521885158,0,3
1521887075,1,3
1521888986,1,6
1521892924,1,0
1521894746,2,3
1521896687,1,3
1521898583,2,5
1521900506,0,1
1521906273,1,2
1521908199,0,3
1521912266,2,2
1521914198,1,1
1521916100,5,7
1521918077,4,2
1521919960,9,7
1521921869,4,18
1521923822,8,6
1521925710,3,2
1521927637,5,5
1521929542,5,5
1521931460,7,8
1521933397,3,7
1521935300,4,4
1521937228,2,8
1521939137,6,7
1521941073,13,8
1521942980,6,8
1521944912,12,8
1521946930,5,4
1521949707,6,1
1521951784,1,0
1521956914,2,6
1521961100,5,2
1521962908,0,2
1521971553,12,5
1521973470,3,0
1521976350,6,2
1521978265,1,1
1521984807,4,5
1521990578,1,0
1521994411,8,1
1521998247,4,2
1522000059,1,1
1522005723,3,11
1522008767,5,7
1522011681,5,8
1522013845,9,5
1522015771,5,3
1522017907,5,7
1522019794,5,5
1522021761,4,7
1522023634,5,3
1522025682,4,8
1522027691,4,12
1522029514,4,5
1522031314,5,11
1522033411,13,5
1522035371,8,3
1522037308,4,4
1522039213,7,2
1522041207,2,0
1522043060,7,0
1522045048,5,3
1522046923,8,1
1522048869,5,0
1522050752,3,0
1522052745,5,3
1522054591,6,3
1522056551,4,3
1522058540,6,1
1522060818,4,5
1522062996,3,4
1522065143,5,2
1522067062,1,3
1522068932,1,1
1522070901,9,2
1522073077,3,0
1522075001,6,0
1522076923,4,1
1522078837,4,5
1522080862,6,6
1522082676,6,0
1522084603,3,4
1522086521,2,1
1522088424,5,1
1522090359,6,1
1522092270,3,1
1522094201,7,3
1522096109,7,2
1522100293,11,11
1522102400,1,3
1522104528,2,5
1522107851,1,7
1522110135,3,8
1522112241,4,2
1522114094,7,4
1522116282,4,5
1522118175,7,4
1522120104,4,13
1522122033,4,3
1522123962,5,10
1522125881,5,5
1522127802,0,3
1522129721,8,8
1522131856,6,2
1522133772,2,8
1522135711,7,4
1522137718,3,3
1522139555,1,3
1522141474,5,5
1522143401,9,2
1522145324,6,4
1522147941,7,4
1522149869,2,0
1522152121,3,5
1522154152,4,0
1522156092,4,6
1522157961,3,3
1522160199,6,4
1522162118,3,3
1522164030,2,3
1522166213,1,5
1522168102,2,5
1522170093,5,4
1522171953,3,6
1522173889,7,3
1522175787,4,5
1522177724,2,4
1522179631,3,3
1522181564,1,9
1522183475,3,6
1522185401,2,2
1522187325,5,3
1522189659,37,2
1522191805,1,0
1522193785,6,2
1522195716,3,1
1522197621,3,7
1522199551,0,4
1522201730,4,5
1522203899,4,8
1522205956,4,4
1522214296,7,20
1522216485,6,13
1522219707,4,7
1522223618,2,12
1522238703,9,44
1522241091,0,58
1522243434,51,0
1522247832,0,15
1522249716,0,6
1522251623,0,1
1522253622,0,3
1522276485,0,38
1522278331,0,37
1522282521,0,7
1522286692,0,5
1522288596,0,4
1522292438,0,9
1522296292,0,2
1522300113,0,6
1522303959,0,7
1522307791,0,4
1522311634,0,1
1522315477,0,2
1522319310,0,2
1522323157,0,1
1522325055,0,5
1523307090,0,0
1525265330,1,0
1525351494,0,1
1526322771,422,0
1526324685,11,5
1526326618,8,7
1526328509,13,7
1526331055,27,15
1526333071,18,7
1526334903,16,9
1526336894,7,7
1526338779,8,9
1526340764,15,9
1526342564,22,6
1526344597,20,9
1526346666,7,9
1526348925,16,7
1526350842,12,5
1526352783,14,11
1526354680,12,12
1526356621,8,10
1526358532,13,10
1526360540,7,9
1526362614,7,10
1526364766,9,4
1526366690,17,10
1526368835,11,6
1526370765,5,4
1526372660,2,6
1526374899,7,8
1526376765,5,15
1526378695,6,6
1526380583,8,3
1526382635,9,5
1526384935,6,13
1526387096,9,6
1526388988,6,2
1526391169,3,3
1526393270,4,4
1526395232,7,3
1526397406,6,8
1526399293,10,12
1526401184,2,25
1526403390,9,11
1526405318,2,19
1526407310,3,19
1526409398,5,13
1526411354,11,9
1526413235,10,10
1526415825,8,18
1526417816,8,21
1526419693,3,11
1526421739,4,10
1526423810,5,10
1526425727,5,10
1526427647,4,9
1526429567,5,18
1526431487,9,17
1526433404,3,5
1526435324,2,17
1526437245,7,16
1526439181,6,16
1526441084,2,9
1526443026,6,10
1526444921,3,10
1526446904,3,8
1526448768,4,7
1526450691,4,7
1526452597,4,19
1526454546,4,16
1526456440,2,7
1526458346,4,5
1526460284,5,7
1526462212,1,12
1526464125,5,6
1526466044,1,10
1526467945,3,12
1526469877,6,8
1526471802,1,7
1526473845,5,9
1526475702,5,8
1526477566,1,5
1526479471,6,7
1526481387,3,7
1526483308,7,6
1526485219,5,9
1526487178,5,6
1526489307,6,9
1526491239,4,4
1526493147,7,2
1526495077,21,5
1526497002,7,11
1526498922,19,8
1526500901,12,6
1526502750,14,6
1526504677,17,10
1526506607,7,4
1526508532,16,5
1526511723,29,7
1526513803,16,5
1526515728,15,6
1526517640,12,10
1526519565,16,4
1526521462,8,5
1526523412,12,5
1526525324,8,10
1526527235,7,3
1526529164,13,3
1526531084,7,5
1526533000,8,1
1526534907,16,3
1526536905,9,4
1526538762,12,4
1526540685,10,4
1526542578,6,3
1526544532,6,3
1526546441,6,3
1526548367,10,3
1526550269,5,5
1526552206,6,3
1526554096,6,3
1526556041,3,4
1526557959,6,2
1526560104,4,4
1526562088,10,7
1526564205,6,0
1526566099,11,7
1526568015,5,2
1526569941,4,7
1526571856,7,7
1526574033,8,7
1526575950,3,5
1526577880,4,6
1526579786,9,4
1526581708,6,10
1526583703,3,6
1526585572,2,12
1526587480,6,7
1526589409,5,14
1526591309,3,11
1526593235,7,8
1526595162,3,15
1526597941,7,19
1526599956,4,15
1526601919,5,10
1526603805,4,8
1526605778,5,16
1526607637,7,7
1526609614,8,9
1526611459,1,9
1526613432,54,9
1526615337,12,14
1526617289,3,11
1526619158,5,9
1526621176,1,16
1526622981,1,9
1526624966,3,16
1526626863,2,11
1526628842,3,11
1526630712,3,5
1526632643,2,7
1526634522,4,5
1526636464,5,11
1526638366,3,8
1526640333,4,9
1526642203,4,5
1526644168,5,3
1526646358,4,8
1526648538,2,11
1526650358,2,9
1526652286,2,14
1526654172,3,8
1526656398,2,8
1526658254,2,8
1526660440,148,9
1526662339,1,5
1526664274,5,5
1526666203,6,12
1526668368,5,6
1526670268,2,4
1526672211,13,2
1526674133,4,7
1526676064,12,4
1526677967,13,7
1526679871,18,6
1526681814,12,3
1526683961,8,6
1526685881,13,5
1526688081,16,3
1526689966,8,5
1526691868,15,5
1526693781,10,7
1526695922,8,8
1526697888,14,1
1526699810,9,51
1526701723,7,15
1526703625,10,2
1526705565,10,5
1526707481,17,1
1526709430,7,1
1526711310,10,4
1526713314,9,4
1526715145,9,2
1526717084,9,3
1526718999,2,2
1526720931,4,3
1526722841,8,4
1526724751,16,4
1526726687,6,5
1526728600,8,4
1526730515,9,5
1526732451,6,3
1526734602,4,1
1526736523,7,2
1526738495,9,1
1526740366,8,2
1526742285,7,2
1526744184,7,3
1526746158,7,4
1526748020,4,42
1526749966,10,4
1526752028,9,7
1526754027,9,3
1526755929,9,4
1526757869,1,3
1526759769,4,115
1526761689,2,7
1526763877,11,15
1526765782,0,7
1526767703,2,10
1526769578,2,5
1526771571,6,4
1526773459,4,16
1526775400,2,8
1526777318,7,12
1526779212,6,6
1526781133,7,11
1526783076,5,8
1526784981,4,8
1526787151,4,7
1526789085,3,4
1526790994,2,13
1526792925,2,12
1526794825,2,10
1526796769,5,7
1526798666,2,10
1526800588,4,9
1526802540,4,11
1526804437,5,8
1526806355,4,5
1526808288,3,7
1526810187,1,13
1526812106,0,7
1526814092,1,13
1526816225,4,9
1526818110,1,8
1526820028,0,2
1526821984,4,9
1526823861,4,5
1526825800,3,8
1526827700,1,14
1526829644,4,10
1526831570,2,8
1526833484,6,5
1526835401,2,11
1526837325,7,12
1526839299,5,9
1526841162,5,9
1526843089,3,8
1526844980,2,1
1526846932,4,4
1526848842,5,6
1526850774,0,10
1526852687,7,0
1526854604,4,3
1526857492,1,10
1526859386,4,5
1526861455,6,4
1526863460,6,7
1526865387,2,7
1526867293,4,6
1526869160,0,8
1526871134,5,1
1526873023,4,8
1526874971,2,4
1526876822,3,2
1526878909,1,4
1526880999,5,4
1526882935,7,3
1526884837,1,2
1526886791,1,4
1526888681,3,3
1526890591,1,6
1526892568,0,2
1526894429,4,6
1526896379,2,2
